15900 2024-03-31 18:58:46,653 INFO | Starting OCRR Engine
15900 2024-03-31 18:58:46,678 INFO | Resetting ocrr collection
15900 2024-03-31 18:58:46,678 INFO | Connection established with MongoDB
15900 2024-03-31 18:58:46,678 INFO | Changed status 'IN_QUEUE' to 'IN_PROGRESS'
15900 2024-03-31 18:58:46,701 INFO | Pre-Processing document C:\Program Files (x86)\Apache Software Foundation\Tomcat 9.0\webapps\CVCore\Upload\vw_56demo\6501\1F-1A_0060760_kyc-other proofs.jpg
15900 2024-03-31 18:58:47,042 INFO | Un-identified document of task id: 3933cf8a-8eb1-4076-8707-5f471aff1269
17092 2024-03-31 19:00:15,491 INFO | Starting OCRR Engine
17092 2024-03-31 19:00:15,506 INFO | Resetting ocrr collection
17092 2024-03-31 19:00:15,507 INFO | Connection established with MongoDB
17092 2024-03-31 19:00:15,507 INFO | Changed status 'IN_QUEUE' to 'IN_PROGRESS'
17092 2024-03-31 19:00:15,515 INFO | Pre-Processing document C:\Program Files (x86)\Apache Software Foundation\Tomcat 9.0\webapps\CVCore\Upload\vw_56demo\6501\1F-1A_0060760_kyc-other proofs.jpg
17092 2024-03-31 19:00:15,866 INFO | Un-identified document of task id: 3933cf8a-8eb1-4076-8707-5f471aff1269
18460 2024-03-31 19:02:17,211 INFO | Starting OCRR Engine
18460 2024-03-31 19:02:17,230 INFO | Resetting ocrr collection
18460 2024-03-31 19:02:17,231 INFO | Connection established with MongoDB
18460 2024-03-31 19:02:17,231 INFO | Changed status 'IN_QUEUE' to 'IN_PROGRESS'
18460 2024-03-31 19:02:17,269 INFO | Pre-Processing document C:\Program Files (x86)\Apache Software Foundation\Tomcat 9.0\webapps\CVCore\Upload\vw_56demo\6501\1F-1A_kyc-OtherProofs.jpg
18460 2024-03-31 19:02:17,721 INFO | Document identified: 3933cf8a-8eb1-4076-8707-5f471aff1271
18460 2024-03-31 19:02:17,722 INFO | Performing OCRR on E-Aadhaar document taskid: 3933cf8a-8eb1-4076-8707-5f471aff1271
18460 2024-03-31 19:02:20,557 ERROR | Unable to extract E-Aadhaar document information
18460 2024-03-31 19:02:20,558 INFO | Document taskid 3933cf8a-8eb1-4076-8707-5f471aff1271 is REJECTED with 80% redaction
